"Fecha","Cierre","Apertura","Máximo","Mínimo","% var."
"08.11.2011","13.3357","13.4170","13.4741","13.3316","-0.69"
"09.11.2011","13.6776","13.3353","13.6909","13.3343","2.56"
"10.11.2011","13.5435","13.6793","13.7270","13.5060","-0.98"
"11.11.2011","13.4915","13.5375","13.5778","13.3835","-0.38"
"14.11.2011","13.5018","13.4432","13.5676","13.4358","0.08"
"15.11.2011","13.6056","13.5157","13.6161","13.4570","0.77"
"16.11.2011","13.6453","13.6111","13.6581","13.5045","0.29"
"17.11.2011","13.7158","13.6396","13.7490","13.5984","0.52"
"18.11.2011","13.7263","13.7166","13.7873","13.6037","0.08"
"21.11.2011","14.0175","13.7404","14.0555","13.7185","2.12"
"22.11.2011","13.9775","14.0145","14.0965","13.9175","-0.29"
"23.11.2011","14.1970","13.9806","14.2250","13.9610","1.57"
"24.11.2011","14.1964","14.1796","14.2373","14.0436","-0.00"
"25.11.2011","14.2040","14.2050","14.3100","14.1840","0.05"
"28.11.2011","14.0239","14.2112","14.2112","13.9533","-1.27"
"29.11.2011","13.7929","14.0271","14.0389","13.7305","-1.65"
"30.11.2011","13.6438","13.8163","13.8698","13.4988","-1.08"
"01.12.2011","13.6014","13.6252","13.6773","13.5292","-0.31"
"02.12.2011","13.6200","13.6103","13.6279","13.4434","0.14"
"05.12.2011","13.5292","13.5538","13.5760","13.4358","-0.67"
"06.12.2011","13.4710","13.5350","13.5570","13.4300","-0.43"
"07.12.2011","13.5186","13.4759","13.5584","13.4449","0.35"
"08.12.2011","13.7208","13.4982","13.7332","13.4402","1.50"
"09.12.2011","13.5850","13.7169","13.7639","13.5549","-0.99"
"12.12.2011","13.8142","13.5899","13.8828","13.5739","1.69"
"13.12.2011","13.8693","13.8161","13.9027","13.7297","0.40"
"14.12.2011","13.9029","13.8679","13.9645","13.8325","0.24"
"15.12.2011","13.8958","13.8880","13.9184","13.7384","-0.05"
"16.12.2011","13.8550","13.9060","13.9355","13.7812","-0.29"
"19.12.2011","13.9016","13.8504","13.9154","13.8299","0.34"
"20.12.2011","13.7843","13.9029","13.9160","13.7285","-0.84"
"21.12.2011","13.8300","13.7868","13.8877","13.6747","0.33"
"22.12.2011","13.8197","13.8258","13.8412","13.7578","-0.07"
"23.12.2011","13.8362","13.8238","13.8731","13.7699","0.12"
"26.12.2011","13.8620","13.8602","13.8754","13.8370","0.19"
"27.12.2011","14.0120","13.8510","14.0485","13.8501","1.08"
"28.12.2011","13.9788","14.0053","14.0364","13.9041","-0.24"
"29.12.2011","14.0156","13.9816","14.0263","13.9561","0.26"
"30.12.2011","13.9547","14.0004","14.0241","13.9160","-0.43"
"02.01.2012","13.9100","13.9320","13.9849","13.8939","-0.32"
"03.01.2012","13.6515","13.9141","13.9371","13.6351","-1.86"
"04.01.2012","13.6680","13.6485","13.7614","13.6389","0.12"
"05.01.2012","13.7580","13.6803","13.7925","13.6580","0.66"
"06.01.2012","13.7210","13.7731","13.7972","13.6603","-0.27"
"09.01.2012","13.6921","13.7527","13.7672","13.6788","-0.21"
"10.01.2012","13.6445","13.6928","13.7070","13.5430","-0.35"
"11.01.2012","13.6103","13.6287","13.7064","13.6013","-0.25"
"12.01.2012","13.5394","13.6105","13.6264","13.5195","-0.52"
"13.01.2012","13.5985","13.5327","13.6937","13.5048","0.44"
"16.01.2012","13.5475","13.6150","13.6274","13.5235","-0.38"
"17.01.2012","13.4336","13.5484","13.5719","13.3976","-0.84"
"18.01.2012","13.3056","13.4413","13.4606","13.2821","-0.95"
"19.01.2012","13.2313","13.3092","13.3467","13.2167","-0.56"
"20.01.2012","13.1758","13.2265","13.2912","13.1650","-0.42"
"23.01.2012","13.1558","13.1933","13.2121","13.0844","-0.15"
"24.01.2012","13.1348","13.1728","13.2578","13.1130","-0.16"
"25.01.2012","13.0157","13.1038","13.1971","12.9981","-0.91"
"26.01.2012","13.0027","13.0149","13.0442","12.8296","-0.10"
"27.01.2012","12.9221","13.0046","13.0489","12.9055","-0.62"
"30.01.2012","12.9924","12.9219","13.0589","12.9219","0.54"
"31.01.2012","13.0446","12.9776","13.0620","12.8995","0.40"
"01.02.2012","12.8959","13.0426","13.0722","12.8535","-1.14"
"02.02.2012","12.8055","12.9005","12.9280","12.7843","-0.70"
"03.02.2012","12.6791","12.8035","12.8513","12.6640","-0.99"
"06.02.2012","12.6680","12.7001","12.7420","12.6122","-0.09"
"07.02.2012","12.6860","12.6705","12.7333","12.6183","0.14"
"08.02.2012","12.7184","12.6755","12.7352","12.6208","0.26"
"09.02.2012","12.6806","12.7198","12.7729","12.6645","-0.30"
"10.02.2012","12.8220","12.6703","12.8506","12.6661","1.12"
"13.02.2012","12.7058","12.7760","12.7800","12.6680","-0.91"
"14.02.2012","12.7688","12.7006","12.8229","12.6890","0.50"
"15.02.2012","12.8597","12.7615","12.8711","12.6960","0.71"
"16.02.2012","12.8141","12.8824","13.0022","12.7932","-0.35"
"17.02.2012","12.7628","12.8254","12.8351","12.7414","-0.40"
"20.02.2012","12.7055","12.7153","12.7187","12.6681","-0.45"
"21.02.2012","12.7765","12.6957","12.8164","12.6772","0.56"
"22.02.2012","12.8485","12.7831","12.8523","12.7690","0.56"
"23.02.2012","12.8279","12.8528","12.9015","12.7325","-0.16"
"24.02.2012","12.8938","12.8263","12.9184","12.7764","0.51"
"27.02.2012","12.8902","12.9067","12.9854","12.8430","-0.03"
"28.02.2012","12.8466","12.8925","12.9027","12.8117","-0.34"
"29.02.2012","12.8460","12.8490","12.8722","12.7575","-0.00"
"01.03.2012","12.7368","12.8514","12.8832","12.7225","-0.85"
"02.03.2012","12.7564","12.7185","12.8084","12.7175","0.15"
"05.03.2012","12.8409","12.7586","12.8457","12.7531","0.66"
"06.03.2012","12.9994","12.8438","13.0486","12.8215","1.23"
"07.03.2012","12.8750","12.9996","13.0227","12.8580","-0.96"
"08.03.2012","12.6995","12.8736","12.9080","12.6641","-1.36"
"09.03.2012","12.6606","12.6758","12.7305","12.6056","-0.31"
"12.03.2012","12.6639","12.6456","12.7468","12.6436","0.03"
"13.03.2012","12.5539","12.6610","12.6849","12.5467","-0.87"
"14.03.2012","12.7338","12.5547","12.7372","12.5529","1.43"
"15.03.2012","12.6562","12.7251","12.7443","12.6347","-0.61"
"16.03.2012","12.6708","12.6596","12.6955","12.6157","0.12"
"19.03.2012","12.6359","12.6675","12.7037","12.5859","-0.28"
"20.03.2012","12.6490","12.6325","12.7333","12.6295","0.10"
"21.03.2012","12.7069","12.6656","12.7363","12.6090","0.46"
"22.03.2012","12.8089","12.7104","12.8671","12.6862","0.80"
"23.03.2012","12.7475","12.8195","12.8780","12.7393","-0.48"
"26.03.2012","12.6640","12.7588","12.7831","12.6480","-0.66"
"27.03.2012","12.7155","12.6689","12.7309","12.6170","0.41"
"28.03.2012","12.7653","12.7086","12.8372","12.6750","0.39"
"29.03.2012","12.8096","12.7588","12.8901","12.7410","0.35"
"30.03.2012","12.8070","12.8059","12.8357","12.7445","-0.02"
"02.04.2012","12.7375","12.7734","12.8173","12.7126","-0.54"
"03.04.2012","12.7930","12.7189","12.8117","12.6995","0.44"
"04.04.2012","12.7906","12.7727","12.8534","12.7608","-0.02"
"05.04.2012","12.8684","12.7967","12.8854","12.7550","0.61"
"06.04.2012","12.9862","12.8681","13.0610","12.8621","0.92"
"09.04.2012","12.9660","12.9912","13.0440","12.9385","-0.16"
"10.04.2012","13.1645","12.9677","13.2049","12.9455","1.53"
"11.04.2012","13.1632","13.1529","13.1917","13.0990","-0.01"
"12.04.2012","13.0275","13.1669","13.1734","13.0215","-1.03"
"13.04.2012","13.1805","13.0325","13.1984","13.0281","1.17"
"16.04.2012","13.2203","13.1609","13.2785","13.1496","0.30"
"17.04.2012","13.1062","13.2063","13.2477","13.0488","-0.86"
"18.04.2012","13.1825","13.0965","13.1866","13.0718","0.58"
"19.04.2012","13.2013","13.1836","13.2740","13.1406","0.14"
"20.04.2012","13.1000","13.2038","13.2250","13.0921","-0.77"
"23.04.2012","13.1705","13.1020","13.2270","13.0805","0.54"
"24.04.2012","13.1642","13.1745","13.2036","13.1158","-0.05"
"25.04.2012","13.1601","13.1654","13.1941","13.1130","-0.03"
"26.04.2012","13.1776","13.1609","13.2488","13.1110","0.13"
"27.04.2012","12.9677","13.2003","13.2509","12.9624","-1.59"
"30.04.2012","13.0156","12.9755","13.0460","12.9487","0.37"
"01.05.2012","12.9108","13.0228","13.0444","12.8792","-0.81"
"02.05.2012","12.9364","12.9138","12.9820","12.9039","0.20"
"03.05.2012","13.0212","12.9383","13.0243","12.9070","0.66"
"04.05.2012","13.1720","13.0072","13.1870","12.9730","1.16"
"07.05.2012","13.1660","13.2938","13.2938","13.1341","-0.05"
"08.05.2012","13.3613","13.1653","13.3946","13.1530","1.48"
"09.05.2012","13.5180","13.3711","13.5740","13.3514","1.17"
"10.05.2012","13.5169","13.5337","13.5478","13.4010","-0.01"
"11.05.2012","13.5755","13.5495","13.5855","13.4815","0.43"
"14.05.2012","13.7288","13.5778","13.7514","13.5441","1.13"
"15.05.2012","13.8272","13.7320","13.8431","13.6222","0.72"
"16.05.2012","13.7665","13.8277","13.9486","13.7318","-0.44"
"17.05.2012","13.8350","13.7547","13.8620","13.7030","0.50"
"18.05.2012","13.8050","13.8340","13.9052","13.7290","-0.22"
"21.05.2012","13.6965","13.8036","13.8294","13.6874","-0.79"
"22.05.2012","13.9015","13.7017","13.9119","13.6665","1.50"
"23.05.2012","13.9952","13.9020","14.0792","13.9000","0.67"
"24.05.2012","14.0130","14.0065","14.0663","13.9250","0.13"
"25.05.2012","14.0217","14.0096","14.0567","13.9526","0.06"
"28.05.2012","13.9469","13.9322","13.9651","13.9024","-0.53"
"29.05.2012","13.8873","13.9456","13.9843","13.8597","-0.43"
"30.05.2012","14.1555","13.8848","14.1616","13.8727","1.93"
"31.05.2012","14.3716","14.1483","14.3844","14.0870","1.53"
"01.06.2012","14.3135","14.3600","14.6025","14.2645","-0.40"
"04.06.2012","14.2311","14.3061","14.3591","14.1720","-0.58"
"05.06.2012","14.2080","14.2020","14.2798","14.1706","-0.16"
"06.06.2012","14.0280","14.2110","14.2497","14.0260","-1.27"
"07.06.2012","14.0668","14.0317","14.0858","13.8298","0.28"
"08.06.2012","13.9212","14.0637","14.2189","13.9097","-1.04"
"11.06.2012","14.1037","13.8499","14.1061","13.8164","1.31"
"12.06.2012","13.9660","14.0897","14.1129","13.9372","-0.98"
"13.06.2012","14.0282","13.9637","14.0433","13.9354","0.45"
